frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
344.30,-0.81,2.52,-0.81,2.52,-2.52,-2.82,-2.75,-3.33,-3.32,-3.33
347.75,-0.89,2.44,-0.89,2.44,-2.44,-2.77,-2.66,-3.33,-3.33,-3.32
351.23,-0.96,2.36,-0.97,2.35,-2.36,-2.72,-2.58,-3.33,-3.33,-3.32
354.74,-1.04,2.26,-1.04,2.27,-2.28,-2.67,-2.50,-3.33,-3.32,-3.31
358.28,-1.11,2.20,-1.11,2.20,-2.20,-2.62,-2.42,-3.31,-3.31,-3.31
361.87,-1.17,2.13,-1.17,2.12,-2.13,-2.58,-2.34,-3.30,-3.30,-3.30
365.49,-1.24,2.06,-1.24,2.05,-2.05,-2.53,-2.26,-3.29,-3.29,-3.29
369.14,-1.30,1.98,-1.30,1.98,-1.98,-2.49,-2.18,-3.28,-3.28,-3.28
372.83,-1.37,1.91,-1.37,1.91,-1.90,-2.44,-2.11,-3.27,-3.27,-3.27
376.56,-1.43,1.84,-1.44,1.84,-1.82,-2.40,-2.04,-3.26,-3.26,-3.28
380.33,-1.51,1.76,-1.51,1.75,-1.75,-2.36,-1.97,-3.26,-3.26,-3.27
384.13,-1.59,1.67,-1.59,1.67,-1.67,-2.31,-1.90,-3.26,-3.26,-3.26
387.97,-1.67,1.58,-1.66,1.59,-1.59,-2.27,-1.84,-3.26,-3.26,-3.25
391.85,-1.73,1.51,-1.73,1.51,-1.52,-2.23,-1.77,-3.25,-3.25,-3.24
395.77,-1.79,1.45,-1.79,1.44,-1.45,-2.19,-1.71,-3.24,-3.24,-3.24
399.73,-1.85,1.38,-1.85,1.38,-1.38,-2.15,-1.65,-3.24,-3.23,-3.23
403.72,-1.89,1.32,-1.89,1.33,-1.32,-2.11,-1.59,-3.22,-3.22,-3.21
407.76,-1.93,1.28,-1.94,1.28,-1.27,-2.07,-1.53,-3.21,-3.21,-3.22
411.84,-1.97,1.23,-1.98,1.23,-1.23,-2.03,-1.48,-3.20,-3.20,-3.21
415.96,-2.01,1.18,-2.02,1.19,-1.19,-2.00,-1.43,-3.20,-3.20,-3.20
420.12,-2.05,1.15,-2.05,1.15,-1.15,-1.96,-1.37,-3.21,-3.20,-3.20
424.32,-2.07,1.12,-2.07,1.12,-1.13,-1.92,-1.32,-3.20,-3.20,-3.19
428.56,-2.07,1.10,-2.08,1.10,-1.11,-1.89,-1.27,-3.18,-3.18,-3.17
432.85,-2.07,1.09,-2.07,1.09,-1.09,-1.86,-1.23,-3.17,-3.17,-3.16
437.18,-2.07,1.09,-2.07,1.08,-1.08,-1.82,-1.18,-3.15,-3.15,-3.16
441.55,-2.07,1.08,-2.07,1.08,-1.07,-1.79,-1.14,-3.14,-3.14,-3.15
445.96,-2.07,1.07,-2.07,1.07,-1.06,-1.76,-1.10,-3.14,-3.14,-3.14
450.42,-2.07,1.06,-2.07,1.06,-1.05,-1.72,-1.06,-3.13,-3.13,-3.13
454.93,-2.07,1.05,-2.07,1.05,-1.04,-1.69,-1.02,-3.12,-3.12,-3.12
459.48,-2.07,1.04,-2.07,1.04,-1.03,-1.66,-0.98,-3.10,-3.10,-3.12
464.07,-2.07,1.02,-2.07,1.02,-1.02,-1.63,-0.95,-3.10,-3.10,-3.10
468.71,-2.07,1.01,-2.07,1.01,-1.02,-1.60,-0.92,-3.09,-3.09,-3.09
473.40,-2.07,1.00,-2.07,1.01,-1.02,-1.57,-0.89,-3.10,-3.09,-3.08
478.13,-2.05,1.02,-2.05,1.02,-1.04,-1.54,-0.86,-3.08,-3.09,-3.07
482.91,-2.02,1.04,-2.02,1.03,-1.05,-1.52,-0.83,-3.07,-3.08,-3.06
487.74,-1.99,1.06,-1.99,1.06,-1.07,-1.49,-0.81,-3.06,-3.05,-3.05
492.62,-1.94,1.10,-1.94,1.10,-1.08,-1.46,-0.79,-3.03,-3.02,-3.04
497.55,-1.89,1.14,-1.89,1.14,-1.11,-1.44,-0.77,-3.00,-3.00,-3.03
502.52,-1.84,1.18,-1.86,1.16,-1.13,-1.41,-0.75,-2.98,-2.99,-3.02
507.55,-1.84,1.16,-1.84,1.16,-1.16,-1.39,-0.73,-3.01,-3.01,-3.00
512.62,-1.84,1.15,-1.83,1.16,-1.19,-1.36,-0.72,-3.04,-3.02,-2.99
517.75,-1.80,1.17,-1.79,1.18,-1.22,-1.34,-0.71,-3.02,-3.01,-2.97
522.93,-1.73,1.23,-1.73,1.23,-1.24,-1.32,-0.69,-2.98,-2.97,-2.96
528.16,-1.67,1.28,-1.67,1.28,-1.26,-1.29,-0.69,-2.93,-2.93,-2.95
533.44,-1.62,1.32,-1.63,1.31,-1.27,-1.27,-0.68,-2.89,-2.91,-2.94
538.77,-1.62,1.31,-1.62,1.31,-1.28,-1.25,-0.67,-2.90,-2.90,-2.93
544.16,-1.62,1.29,-1.62,1.30,-1.29,-1.23,-0.67,-2.91,-2.91,-2.91
549.60,-1.62,1.28,-1.62,1.28,-1.29,-1.21,-0.67,-2.91,-2.91,-2.90
555.10,-1.62,1.26,-1.62,1.26,-1.28,-1.19,-0.67,-2.90,-2.90,-2.88
560.65,-1.62,1.25,-1.62,1.25,-1.26,-1.17,-0.67,-2.89,-2.89,-2.87
566.25,-1.62,1.24,-1.62,1.24,-1.25,-1.15,-0.67,-2.87,-2.87,-2.86
571.92,-1.62,1.23,-1.62,1.23,-1.24,-1.13,-0.68,-2.86,-2.86,-2.85
577.64,-1.62,1.22,-1.62,1.22,-1.23,-1.12,-0.68,-2.85,-2.85,-2.84
583.41,-1.62,1.21,-1.62,1.21,-1.22,-1.10,-0.69,-2.84,-2.84,-2.84
589.25,-1.62,1.20,-1.62,1.20,-1.21,-1.08,-0.70,-2.83,-2.83,-2.83
595.14,-1.62,1.19,-1.63,1.19,-1.19,-1.07,-0.70,-2.81,-2.82,-2.82
601.09,-1.63,1.17,-1.63,1.17,-1.16,-1.05,-0.71,-2.80,-2.79,-2.81
607.10,-1.65,1.14,-1.64,1.14,-1.12,-1.04,-0.73,-2.77,-2.77,-2.79
613.17,-1.66,1.11,-1.67,1.09,-1.08,-1.02,-0.74,-2.74,-2.75,-2.77
619.30,-1.72,1.03,-1.72,1.03,-1.02,-1.01,-0.75,-2.73,-2.73,-2.75
625.50,-1.78,0.95,-1.77,0.96,-0.95,-1.00,-0.77,-2.73,-2.72,-2.73
631.75,-1.84,0.88,-1.84,0.87,-0.88,-0.98,-0.78,-2.72,-2.72,-2.72
638.07,-1.91,0.79,-1.91,0.79,-0.81,-0.97,-0.80,-2.71,-2.71,-2.70
644.45,-1.97,0.71,-1.97,0.71,-0.73,-0.96,-0.81,-2.70,-2.70,-2.68
650.89,-2.03,0.63,-2.02,0.64,-0.66,-0.95,-0.83,-2.69,-2.68,-2.67
657.40,-2.06,0.58,-2.06,0.58,-0.58,-0.94,-0.85,-2.64,-2.64,-2.64
663.98,-2.09,0.54,-2.09,0.53,-0.51,-0.93,-0.87,-2.60,-2.60,-2.63
670.62,-2.12,0.48,-2.13,0.47,-0.44,-0.93,-0.89,-2.56,-2.57,-2.61
677.32,-2.19,0.40,-2.19,0.40,-0.38,-0.92,-0.91,-2.56,-2.57,-2.59
684.10,-2.25,0.32,-2.24,0.33,-0.33,-0.91,-0.94,-2.57,-2.57,-2.57
690.94,-2.29,0.26,-2.28,0.26,-0.29,-0.91,-0.96,-2.58,-2.57,-2.55
697.85,-2.29,0.24,-2.30,0.23,-0.26,-0.90,-0.98,-2.55,-2.56,-2.53
704.83,-2.29,0.22,-2.29,0.22,-0.25,-0.90,-1.01,-2.54,-2.54,-2.51
711.87,-2.26,0.23,-2.25,0.24,-0.26,-0.90,-1.04,-2.52,-2.51,-2.49
718.99,-2.19,0.28,-2.19,0.28,-0.28,-0.89,-1.06,-2.47,-2.47,-2.47
726.18,-2.11,0.34,-2.11,0.33,-0.32,-0.89,-1.09,-2.43,-2.44,-2.45
733.44,-2.03,0.39,-2.03,0.40,-0.37,-0.89,-1.12,-2.41,-2.41,-2.43
740.78,-1.96,0.45,-1.96,0.45,-0.44,-0.89,-1.15,-2.39,-2.40,-2.41
748.19,-1.88,0.51,-1.88,0.51,-0.51,-0.90,-1.18,-2.39,-2.39,-2.39
755.67,-1.80,0.57,-1.80,0.57,-0.58,-0.90,-1.21,-2.38,-2.38,-2.37
763.23,-1.71,0.64,-1.70,0.65,-0.65,-0.91,-1.24,-2.36,-2.36,-2.35
770.86,-1.60,0.73,-1.60,0.73,-0.73,-0.91,-1.27,-2.33,-2.33,-2.33
778.57,-1.50,0.81,-1.50,0.81,-0.80,-0.92,-1.30,-2.30,-2.30,-2.31
786.35,-1.40,0.89,-1.40,0.89,-0.88,-0.93,-1.33,-2.28,-2.28,-2.29
794.22,-1.30,0.96,-1.30,0.96,-0.96,-0.94,-1.36,-2.26,-2.26,-2.26
802.16,-1.20,1.04,-1.20,1.04,-1.05,-0.95,-1.39,-2.25,-2.25,-2.24
810.18,-1.10,1.12,-1.10,1.12,-1.13,-0.96,-1.43,-2.23,-2.23,-2.22
818.28,-1.00,1.20,-1.00,1.20,-1.20,-0.98,-1.46,-2.20,-2.20,-2.20
826.46,-0.90,1.28,-0.89,1.28,-1.27,-0.99,-1.49,-2.17,-2.17,-2.18
834.73,-0.79,1.36,-0.80,1.35,-1.35,-1.01,-1.52,-2.14,-2.15,-2.15
843.08,-0.72,1.41,-0.71,1.42,-1.41,-1.03,-1.55,-2.13,-2.13,-2.13
851.51,-0.64,1.47,-0.64,1.47,-1.47,-1.05,-1.58,-2.11,-2.11,-2.11
860.02,-0.56,1.52,-0.56,1.52,-1.52,-1.08,-1.61,-2.09,-2.09,-2.08
868.62,-0.48,1.57,-0.48,1.57,-1.57,-1.10,-1.63,-2.05,-2.05,-2.05
877.31,-0.40,1.63,-0.41,1.62,-1.61,-1.13,-1.66,-2.01,-2.01,-2.03
886.08,-0.34,1.66,-0.35,1.65,-1.64,-1.16,-1.68,-1.98,-1.99,-2.00
894.94,-0.31,1.67,-0.31,1.67,-1.68,-1.19,-1.70,-1.98,-1.98,-1.98
903.89,-0.28,1.67,-0.27,1.68,-1.71,-1.23,-1.72,-1.98,-1.97,-1.95
912.93,-0.22,1.70,-0.21,1.70,-1.73,-1.26,-1.74,-1.94,-1.94,-1.92
922.06,-0.15,1.73,-0.15,1.74,-1.74,-1.30,-1.75,-1.89,-1.89,-1.88
931.28,-0.08,1.77,-0.09,1.76,-1.74,-1.34,-1.76,-1.82,-1.83,-1.85
940.59,-0.04,1.78,-0.05,1.77,-1.73,-1.38,-1.76,-1.78,-1.79,-1.82
950.00,-0.04,1.75,-0.04,1.75,-1.72,-1.42,-1.77,-1.77,-1.76,-1.79
959.50,-0.04,1.72,-0.04,1.72,-1.71,-1.47,-1.77,-1.75,-1.75,-1.76
969.09,-0.04,1.68,-0.05,1.68,-1.69,-1.51,-1.76,-1.73,-1.74,-1.72
978.78,-0.04,1.65,-0.05,1.64,-1.67,-1.55,-1.75,-1.71,-1.72,-1.69
988.57,-0.04,1.61,-0.03,1.62,-1.65,-1.60,-1.74,-1.69,-1.68,-1.65
998.46,-0.01,1.61,-0.00,1.61,-1.63,-1.64,-1.72,-1.64,-1.64,-1.62
1008.44,0.04,1.62,0.04,1.62,-1.62,-1.68,-1.70,-1.58,-1.58,-1.58
1018.53,0.10,1.64,0.09,1.63,-1.61,-1.71,-1.67,-1.52,-1.53,-1.54
1028.71,0.13,1.63,0.12,1.63,-1.61,-1.75,-1.64,-1.49,-1.49,-1.50
1039.00,0.15,1.62,0.15,1.62,-1.61,-1.78,-1.61,-1.46,-1.46,-1.47
1049.39,0.17,1.60,0.18,1.61,-1.61,-1.80,-1.57,-1.43,-1.43,-1.43
1059.88,0.21,1.60,0.21,1.60,-1.60,-1.82,-1.53,-1.39,-1.39,-1.39
1070.48,0.25,1.59,0.25,1.59,-1.60,-1.83,-1.48,-1.35,-1.35,-1.34
1081.19,0.29,1.59,0.29,1.58,-1.59,-1.83,-1.43,-1.30,-1.30,-1.30
1092.00,0.33,1.58,0.33,1.58,-1.58,-1.83,-1.38,-1.26,-1.26,-1.25
1102.92,0.37,1.57,0.37,1.57,-1.58,-1.81,-1.32,-1.21,-1.21,-1.20
1113.95,0.41,1.57,0.42,1.57,-1.58,-1.79,-1.26,-1.16,-1.16,-1.16
1125.09,0.46,1.56,0.47,1.57,-1.57,-1.76,-1.19,-1.11,-1.10,-1.10
1136.34,0.52,1.57,0.51,1.56,-1.56,-1.71,-1.13,-1.04,-1.04,-1.05
1147.70,0.56,1.55,0.56,1.55,-1.54,-1.66,-1.06,-0.98,-0.98,-0.99
1159.18,0.59,1.52,0.59,1.52,-1.51,-1.60,-0.99,-0.93,-0.92,-0.93
1170.77,0.61,1.49,0.61,1.49,-1.48,-1.53,-0.92,-0.87,-0.87,-0.88
1182.48,0.63,1.45,0.62,1.44,-1.44,-1.46,-0.84,-0.81,-0.82,-0.82
1194.30,0.63,1.39,0.63,1.39,-1.39,-1.38,-0.77,-0.76,-0.76,-0.76
1206.25,0.63,1.32,0.63,1.32,-1.34,-1.29,-0.69,-0.71,-0.71,-0.69
1218.31,0.63,1.26,0.63,1.26,-1.27,-1.19,-0.61,-0.65,-0.64,-0.63
1230.49,0.63,1.20,0.63,1.20,-1.20,-1.10,-0.53,-0.58,-0.57,-0.57
1242.80,0.63,1.14,0.62,1.13,-1.12,-0.99,-0.45,-0.50,-0.50,-0.51
1255.22,0.61,1.05,0.61,1.05,-1.04,-0.89,-0.37,-0.42,-0.42,-0.44
1267.78,0.59,0.95,0.59,0.96,-0.94,-0.78,-0.28,-0.35,-0.35,-0.36
1280.45,0.57,0.86,0.56,0.85,-0.84,-0.67,-0.20,-0.28,-0.28,-0.29
1293.26,0.52,0.73,0.52,0.73,-0.74,-0.56,-0.12,-0.21,-0.22,-0.21
1306.19,0.47,0.61,0.47,0.61,-0.62,-0.44,-0.03,-0.15,-0.15,-0.14
1319.25,0.42,0.48,0.42,0.49,-0.51,-0.32,0.06,-0.09,-0.08,-0.06
1332.45,0.38,0.37,0.38,0.37,-0.38,-0.20,0.14,-0.00,-0.00,0.01
1345.77,0.33,0.24,0.34,0.25,-0.25,-0.08,0.23,0.08,0.09,0.09
1359.23,0.29,0.12,0.28,0.12,-0.11,0.04,0.32,0.18,0.17,0.17
1372.82,0.22,-0.03,0.23,-0.02,0.04,0.17,0.40,0.26,0.27,0.25
1386.55,0.14,-0.18,0.15,-0.18,0.20,0.30,0.49,0.35,0.35,0.33
1400.41,0.07,-0.34,0.05,-0.36,0.37,0.44,0.58,0.44,0.43,0.41
1414.42,-0.06,-0.55,-0.06,-0.55,0.56,0.58,0.67,0.49,0.50,0.49
1428.56,-0.19,-0.75,-0.19,-0.75,0.75,0.73,0.76,0.56,0.56,0.56
1442.85,-0.32,-0.96,-0.32,-0.96,0.96,0.88,0.85,0.63,0.63,0.64
1457.28,-0.45,-1.17,-0.45,-1.17,1.17,1.04,0.94,0.71,0.71,0.72
1471.85,-0.58,-1.37,-0.58,-1.37,1.38,1.21,1.03,0.80,0.79,0.79
1486.57,-0.71,-1.58,-0.71,-1.58,1.58,1.39,1.12,0.87,0.87,0.87
1501.43,-0.82,-1.77,-0.83,-1.78,1.78,1.57,1.21,0.95,0.95,0.95
1516.45,-0.94,-1.98,-0.94,-1.98,1.96,1.77,1.31,1.02,1.03,1.04
1531.61,-1.04,-2.17,-1.03,-2.16,2.14,1.97,1.40,1.10,1.11,1.13
1546.93,-1.09,-2.31,-1.10,-2.32,2.31,2.17,1.49,1.22,1.21,1.22
1562.40,-1.14,-2.45,-1.15,-2.45,2.46,2.38,1.59,1.32,1.31,1.31
1578.02,-1.19,-2.59,-1.19,-2.59,2.60,2.58,1.68,1.41,1.41,1.40
1593.80,-1.23,-2.71,-1.23,-2.72,2.72,2.77,1.77,1.49,1.49,1.48
1609.74,-1.26,-2.84,-1.26,-2.84,2.83,2.94,1.87,1.57,1.57,1.58
1625.84,-1.26,-2.94,-1.26,-2.94,2.93,3.08,1.96,1.66,1.67,1.68
1642.10,-1.22,-3.01,-1.23,-3.02,3.01,3.18,2.05,1.79,1.78,1.79
1658.52,-1.19,-3.08,-1.19,-3.08,3.09,3.24,2.15,1.90,1.90,1.89
1675.10,-1.14,-3.13,-1.14,-3.13,3.15,3.27,2.24,2.01,2.01,1.99
1691.85,-1.09,-3.18,-1.09,-3.19,3.19,3.25,2.33,2.11,2.10,2.09
1708.77,-1.04,-3.24,-1.02,-3.22,3.22,3.21,2.42,2.18,2.20,2.20
1725.86,-0.92,-3.24,-0.93,-3.24,3.22,3.15,2.51,2.30,2.29,2.32
1743.12,-0.79,-3.22,-0.80,-3.24,3.20,3.08,2.60,2.41,2.40,2.43
1760.55,-0.66,-3.21,-0.65,-3.19,3.17,3.00,2.69,2.51,2.52,2.55
1778.15,-0.47,-3.13,-0.47,-3.13,3.11,2.92,2.77,2.65,2.65,2.67
1795.94,-0.26,-3.04,-0.26,-3.05,3.04,2.85,2.85,2.79,2.78,2.78
1813.90,-0.05,-2.96,-0.05,-2.96,2.97,2.78,2.93,2.92,2.92,2.91
1832.03,0.16,-2.87,0.16,-2.87,2.89,2.73,3.01,3.04,3.05,3.03
1850.36,0.37,-2.79,0.37,-2.79,2.81,2.68,3.08,3.17,3.18,3.16
1868.86,0.57,-2.72,0.56,-2.73,2.74,2.65,3.15,3.31,3.31,3.29
1887.55,0.74,-2.68,0.74,-2.67,2.69,2.63,3.22,3.43,3.43,3.42
1906.42,0.91,-2.64,0.91,-2.64,2.65,2.61,3.28,3.56,3.56,3.55
1925.49,1.06,-2.62,1.05,-2.63,2.64,2.61,3.34,3.69,3.69,3.68
1944.74,1.19,-2.63,1.20,-2.62,2.63,2.61,3.40,3.82,3.83,3.82
1964.19,1.32,-2.63,1.32,-2.63,2.64,2.62,3.45,3.96,3.96,3.95
1983.83,1.44,-2.65,1.43,-2.65,2.65,2.64,3.49,4.10,4.09,4.09
2003.67,1.53,-2.69,1.54,-2.68,2.67,2.67,3.54,4.21,4.21,4.22
2023.71,1.62,-2.72,1.63,-2.71,2.70,2.70,3.57,4.32,4.32,4.34
2043.94,1.72,-2.74,1.72,-2.74,2.72,2.74,3.61,4.44,4.44,4.46
2064.38,1.82,-2.75,1.82,-2.75,2.74,2.78,3.64,4.56,4.56,4.57
2085.03,1.93,-2.76,1.93,-2.76,2.76,2.83,3.66,4.69,4.69,4.69
2105.88,2.03,-2.78,2.03,-2.78,2.78,2.88,3.68,4.81,4.81,4.81
2126.94,2.13,-2.80,2.14,-2.79,2.80,2.93,3.70,4.93,4.94,4.93
2148.20,2.24,-2.81,2.23,-2.82,2.82,2.99,3.72,5.06,5.06,5.05
2169.69,2.33,-2.84,2.33,-2.84,2.85,3.05,3.73,5.18,5.18,5.17
2191.38,2.41,-2.88,2.41,-2.88,2.89,3.12,3.74,5.29,5.30,5.29
2213.30,2.49,-2.92,2.48,-2.93,2.92,3.19,3.75,5.41,5.41,5.41
2235.43,2.55,-2.98,2.55,-2.98,2.97,3.26,3.75,5.52,5.52,5.53
2257.78,2.62,-3.02,2.62,-3.03,3.01,3.34,3.76,5.63,5.63,5.64
2280.36,2.68,-3.08,2.68,-3.08,3.07,3.41,3.76,5.75,5.75,5.76
2303.17,2.74,-3.13,2.75,-3.12,3.13,3.49,3.76,5.87,5.88,5.87
2326.20,2.81,-3.18,2.81,-3.18,3.19,3.57,3.76,6.00,6.00,5.99
2349.46,2.87,-3.24,2.86,-3.25,3.26,3.66,3.77,6.14,6.12,6.11
2372.95,2.88,-3.33,2.88,-3.33,3.34,3.74,3.77,6.22,6.22,6.21
2396.68,2.88,-3.42,2.88,-3.42,3.42,3.83,3.77,6.30,6.31,6.30
2420.65,2.88,-3.52,2.88,-3.52,3.51,3.92,3.77,6.39,6.39,6.40
2444.86,2.88,-3.61,2.88,-3.61,3.59,4.01,3.78,6.47,6.47,6.49
2469.31,2.88,-3.70,2.88,-3.71,3.68,4.10,3.79,6.56,6.56,6.58
2494.00,2.88,-3.80,2.88,-3.79,3.78,4.20,3.80,6.66,6.66,6.68
2518.94,2.88,-3.88,2.88,-3.87,3.88,4.29,3.81,6.75,6.76,6.76
2544.13,2.88,-3.95,2.87,-3.96,3.98,4.38,3.82,6.86,6.85,6.83
2569.57,2.86,-4.05,2.85,-4.06,4.09,4.48,3.83,6.95,6.94,6.91
2595.27,2.79,-4.20,2.80,-4.19,4.21,4.57,3.85,7.00,7.01,6.99
2621.22,2.73,-4.34,2.73,-4.34,4.34,4.66,3.87,7.07,7.07,7.07
2647.43,2.65,-4.49,2.65,-4.49,4.48,4.76,3.89,7.13,7.13,7.14
2673.90,2.56,-4.64,2.57,-4.63,4.64,4.85,3.92,7.20,7.20,7.20
2700.64,2.47,-4.79,2.47,-4.79,4.80,4.94,3.95,7.27,7.27,7.26
2727.65,2.37,-4.95,2.37,-4.96,4.97,5.03,3.98,7.33,7.33,7.32
2754.93,2.25,-5.13,2.25,-5.13,5.14,5.12,4.02,7.39,7.39,7.38
2782.48,2.13,-5.31,2.14,-5.30,5.31,5.20,4.06,7.45,7.45,7.44
2810.30,2.02,-5.47,2.02,-5.47,5.48,5.28,4.10,7.49,7.49,7.49
2838.40,1.90,-5.62,1.90,-5.62,5.62,5.36,4.15,7.53,7.53,7.52
2866.79,1.79,-5.76,1.79,-5.76,5.75,5.44,4.20,7.54,7.54,7.55
2895.46,1.68,-5.91,1.68,-5.90,5.85,5.51,4.25,7.53,7.53,7.59
2924.41,1.58,-6.04,1.58,-6.04,5.93,5.58,4.31,7.51,7.50,7.62
2953.65,1.48,-6.17,1.48,-6.17,5.98,5.65,4.37,7.46,7.46,7.65
2983.19,1.39,-6.29,1.39,-6.29,6.01,5.71,4.43,7.40,7.40,7.68
3013.02,1.31,-6.40,1.31,-6.40,6.03,5.76,4.50,7.34,7.33,7.71
3043.15,1.23,-6.50,1.24,-6.49,6.03,5.81,4.57,7.26,7.27,7.73
3073.58,1.18,-6.57,1.17,-6.58,6.02,5.86,4.65,7.20,7.19,7.75
3104.32,1.13,-6.65,1.12,-6.66,6.01,5.91,4.72,7.13,7.13,7.78
3135.36,1.08,-6.72,1.09,-6.71,6.00,5.94,4.80,7.08,7.09,7.80
3166.72,1.08,-6.73,1.07,-6.73,6.00,5.98,4.89,7.08,7.07,7.81
3198.38,1.08,-6.73,1.07,-6.74,6.00,6.01,4.97,7.08,7.07,7.81
3230.37,1.08,-6.73,1.08,-6.73,6.00,6.03,5.06,7.08,7.08,7.81
3262.67,1.08,-6.72,1.08,-6.73,6.00,6.06,5.15,7.08,7.08,7.80
3295.30,1.08,-6.72,1.08,-6.72,6.00,6.08,5.24,7.08,7.08,7.80
3328.25,1.08,-6.72,1.08,-6.72,6.00,6.09,5.33,7.08,7.08,7.80
3361.53,1.08,-6.71,1.08,-6.71,6.00,6.11,5.43,7.08,7.08,7.79
3395.15,1.08,-6.70,1.08,-6.70,6.00,6.12,5.52,7.08,7.08,7.78
3429.10,1.08,-6.68,1.08,-6.68,6.00,6.13,5.61,7.08,7.08,7.76
3463.39,1.08,-6.66,1.08,-6.67,6.00,6.13,5.70,7.08,7.08,7.74
3498.03,1.08,-6.65,1.08,-6.65,6.00,6.14,5.79,7.08,7.08,7.73
3533.01,1.08,-6.63,1.08,-6.63,6.00,6.14,5.88,7.08,7.08,7.71
3568.34,1.08,-6.60,1.08,-6.60,6.00,6.15,5.97,7.08,7.08,7.68
3604.02,1.08,-6.57,1.07,-6.58,6.00,6.15,6.05,7.08,7.07,7.65
3640.06,1.04,-6.58,1.03,-6.58,6.00,6.16,6.13,7.04,7.03,7.62
3676.46,0.97,-6.61,0.98,-6.61,6.00,6.16,6.20,6.97,6.98,7.58
3713.22,0.91,-6.64,0.91,-6.64,6.00,6.16,6.26,6.91,6.91,7.55
3750.36,0.84,-6.68,0.85,-6.67,6.00,6.17,6.32,6.84,6.85,7.52
3787.86,0.78,-6.70,0.78,-6.70,6.00,6.17,6.37,6.78,6.78,7.48
3825.74,0.72,-6.73,0.71,-6.74,6.00,6.17,6.41,6.72,6.71,7.45
3864.00,0.62,-6.79,0.62,-6.78,6.00,6.17,6.44,6.62,6.62,7.41
3902.64,0.52,-6.85,0.52,-6.85,6.00,6.17,6.46,6.52,6.52,7.37
3941.66,0.42,-6.91,0.41,-6.92,6.00,6.17,6.47,6.42,6.41,7.33
3981.08,0.30,-7.00,0.30,-6.99,6.00,6.17,6.48,6.30,6.30,7.30
4020.89,0.18,-7.08,0.18,-7.07,6.00,6.16,6.47,6.18,6.18,7.26
4061.10,0.06,-7.15,0.05,-7.16,6.00,6.15,6.44,6.06,6.05,7.21
4101.71,-0.09,-7.25,-0.09,-7.25,6.00,6.13,6.41,5.91,5.91,7.16
4142.73,-0.25,-7.37,-0.24,-7.36,6.00,6.10,6.37,5.75,5.76,7.12
4184.15,-0.40,-7.47,-0.40,-7.47,6.00,6.07,6.32,5.60,5.60,7.07
4226.00,-0.54,-7.57,-0.55,-7.58,6.00,6.03,6.26,5.46,5.45,7.03
4268.26,-0.69,-7.67,-0.68,-7.66,6.00,5.99,6.18,5.31,5.32,6.98
4310.94,-0.81,-7.74,-0.79,-7.72,6.00,5.93,6.10,5.19,5.21,6.93
4354.05,-0.86,-7.74,-0.87,-7.75,6.02,5.86,6.02,5.16,5.15,6.88
4397.59,-0.91,-7.74,-0.91,-7.74,6.04,5.79,5.92,5.13,5.13,6.83
4441.56,-0.92,-7.70,-0.92,-7.70,6.05,5.70,5.82,5.13,5.13,6.78
4485.98,-0.85,-7.58,-0.87,-7.59,6.04,5.61,5.72,5.20,5.17,6.73
4530.84,-0.78,-7.45,-0.72,-7.39,6.01,5.51,5.61,5.23,5.29,6.67
4576.15,-0.47,-7.09,-0.48,-7.10,5.93,5.39,5.49,5.46,5.45,6.62
4621.91,-0.16,-6.72,-0.18,-6.74,5.82,5.28,5.38,5.67,5.64,6.56
4668.13,0.17,-6.34,0.16,-6.34,5.68,5.15,5.26,5.84,5.84,6.51
4714.81,0.49,-5.96,0.51,-5.94,5.49,5.03,5.14,5.98,6.00,6.45
4761.96,0.84,-5.55,0.84,-5.55,5.27,4.89,5.02,6.11,6.11,6.39
4809.58,1.18,-5.16,1.16,-5.18,5.01,4.76,4.89,6.19,6.17,6.34
4857.67,1.44,-4.84,1.44,-4.84,4.74,4.62,4.77,6.18,6.18,6.28
4906.25,1.69,-4.53,1.70,-4.52,4.46,4.48,4.65,6.15,6.16,6.22
4955.31,1.93,-4.23,1.94,-4.22,4.19,4.35,4.53,6.12,6.12,6.16
5004.87,2.16,-3.94,2.17,-3.94,3.94,4.21,4.42,6.10,6.11,6.10
5054.91,2.40,-3.66,2.38,-3.68,3.70,4.07,4.30,6.09,6.07,6.06
5105.46,2.56,-3.45,2.56,-3.44,3.46,3.94,4.19,6.03,6.03,6.01
5156.52,2.72,-3.24,2.73,-3.24,3.24,3.81,4.07,5.96,5.97,5.96
5208.08,2.87,-3.04,2.87,-3.04,3.03,3.68,3.96,5.91,5.90,5.91
5260.16,3.01,-2.85,3.01,-2.85,2.84,3.56,3.86,5.84,5.85,5.86
5312.77,3.14,-2.67,3.14,-2.67,2.66,3.44,3.75,5.79,5.80,5.81
5365.89,3.26,-2.49,3.25,-2.50,2.49,3.32,3.65,5.75,5.74,5.75
5419.55,3.34,-2.35,3.35,-2.35,2.34,3.21,3.55,5.68,5.69,5.69
5473.75,3.42,-2.22,3.43,-2.21,2.21,3.10,3.46,5.63,5.64,5.64
5528.49,3.50,-2.08,3.49,-2.09,2.10,2.99,3.37,5.60,5.59,5.58
5583.77,3.55,-1.98,3.53,-1.99,2.02,2.89,3.28,5.57,5.55,5.53
